id,__str__,link_detail_backend,metadata,numero,ano,numero_protocolo,data_apresentacao,tipo_apresentacao,data_publicacao,numero_origem_externa,ano_origem_externa,data_origem_externa,apelido,dias_prazo,data_fim_prazo,em_tramitacao,polemica,objeto,complementar,ementa,indexacao,observacao,resultado,texto_original,data_ultima_atualizacao,ip,ultima_edicao,tipo,regime_tramitacao,tipo_origem_externa,local_origem_externa,user,anexadas,autores
2335,Requerimento nº 34 de 2026,/materia/2335,{},34,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção da pavimentação asfáltica da Rua Galileia, localizada no bairro Piau, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2335/req_034-2026.pdf,2026-02-23T13:48:22.586834-03:00,38.211.206.144,2026-02-19T15:58:56.179373-03:00,7,1,,,2,[],[5]
2336,Requerimento nº 35 de 2026,/materia/2336,{},35,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção da pavimentação asfáltica da Rua Cristo Rei, localizada no bairro Piau, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2336/req_035-2026.pdf,2026-02-23T13:48:22.741670-03:00,38.211.206.144,2026-02-19T15:58:48.894789-03:00,7,1,,,2,[],[5]
2337,Requerimento nº 36 de 2026,/materia/2337,{},36,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção da pavimentação asfáltica da Rua Jesus Salvador, localizada no bairro Piau, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2337/req_036-2026.pdf,2026-02-23T13:48:22.880502-03:00,38.211.206.144,2026-02-19T15:58:35.960063-03:00,7,1,,,2,[],[5]
2338,Requerimento nº 37 de 2026,/materia/2338,{},37,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção da pavimentação asfáltica da Rua Julieta Quesado, localizada no bairro Piau, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2338/req_037-2026.pdf,2026-02-23T13:48:23.030242-03:00,38.211.206.144,2026-02-19T15:58:30.179868-03:00,7,1,,,2,[],[5]
2339,Requerimento nº 38 de 2026,/materia/2339,{},38,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção em pedra tosca (calçamento) da Rua Pescada, localizada no bairro Chácara da Prainha, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2339/req_038-2026.pdf,2026-02-23T13:48:23.187593-03:00,38.211.206.144,2026-02-19T15:58:21.417362-03:00,7,1,,,2,[],[5]
2340,Requerimento nº 39 de 2026,/materia/2340,{},39,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção da pavimentação asfáltica da Rua Almir Filho, localizada no bairro Piau, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2340/req_039-2026.pdf,2026-02-23T13:48:23.327113-03:00,38.211.206.144,2026-02-19T15:58:15.883037-03:00,7,1,,,2,[],[5]
2341,Requerimento nº 40 de 2026,/materia/2341,{},40,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção em pedra tosca (calçamento) da Rua Kangati, localizada no bairro Chácara da Prainha, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2341/req_040-2026.pdf,2026-02-23T13:48:23.544228-03:00,38.211.206.144,2026-02-19T15:56:32.880153-03:00,7,1,,,2,[],[5]
2342,Requerimento nº 41 de 2026,/materia/2342,{},41,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção em pedra tosca (calçamento) da Rua Serra, localizada no bairro Chácara da Prainha, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2342/req_041-2026.pdf,2026-02-23T13:48:23.692064-03:00,38.211.206.144,2026-02-19T15:56:25.321037-03:00,7,1,,,2,[],[5]
2343,Requerimento nº 42 de 2026,/materia/2343,{},42,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção em pedra tosca (calçamento) da Rua Cavala, localizada no bairro Chácara da Prainha, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2343/req_042-2026.pdf,2026-02-23T13:48:23.849709-03:00,38.211.206.144,2026-02-19T15:56:18.797845-03:00,7,1,,,2,[],[5]
2344,Requerimento nº 43 de 2026,/materia/2344,{},43,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção em pedra tosca (calçamento) da Rua Biquara, localizada no bairro Chácara da Prainha, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2344/req_043-2026.pdf,2026-02-23T13:48:24.033565-03:00,38.211.206.144,2026-02-19T15:56:12.506138-03:00,7,1,,,2,[],[5]
2345,Requerimento nº 44 de 2026,/materia/2345,{},44,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção em pedra tosca (calçamento) da Rua do Camurupim, localizada no bairro Chácara da Prainha, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2345/req_044-2026.pdf,2026-02-23T13:48:24.217170-03:00,38.211.206.144,2026-02-19T15:56:07.269661-03:00,7,1,,,2,[],[5]
2346,Requerimento nº 45 de 2026,/materia/2346,{},45,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção em pedra tosca (calçamento) da Rua Garoupa, localizada no bairro Chácara da Prainha, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2346/req_045-2026.pdf,2026-02-23T13:48:24.382698-03:00,38.211.206.144,2026-02-19T15:55:17.990658-03:00,7,1,,,2,[],[5]
2347,Requerimento nº 46 de 2026,/materia/2347,{},46,2026,,2026-02-02,E,,,,,,,,False,False,,False,"Requer a construção da pavimentação asfáltica da Rua Milton Dias, localizada no bairro Chácara da Prainha, neste município.",,,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/materialegislativa/2026/2347/req_046-2026.pdf,2026-02-23T13:48:24.524792-03:00,38.211.206.144,2026-02-19T15:55:10.222239-03:00,7,1,,,2,[],[5]
